"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 05 09:48:46 GMT 2025","Wed Mar 05 09:48:46 GMT 2025","310","Surefire suite","Surefire test","com.bookstore.BooksAPI.DeleteBookTests","com.bookstore.BooksAPI.DeleteBookTests","deleteBookByIdInvalidFormat","Delete a book by non-numeric ID - Invalid ID Format",""
"passed","Wed Mar 05 09:48:37 GMT 2025","Wed Mar 05 09:48:37 GMT 2025","335","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthorWithInvalidTypeForBookId","Post author with invalid type for book ID",""
"passed","Wed Mar 05 09:48:40 GMT 2025","Wed Mar 05 09:48:40 GMT 2025","319","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateFirstNameOfAuthor","Update the first name of an author",""
"passed","Wed Mar 05 09:48:39 GMT 2025","Wed Mar 05 09:48:39 GMT 2025","328","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateAuthor","Update an author",""
"passed","Wed Mar 05 09:48:39 GMT 2025","Wed Mar 05 09:48:40 GMT 2025","321","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.UpdateAuthorTests","com.bookstore.AuthorsAPI.UpdateAuthorTests","updateAuthorWithInvalidIdBookType","Update idBook of an author with invalid type",""
"passed","Wed Mar 05 09:48:44 GMT 2025","Wed Mar 05 09:48:44 GMT 2025","328","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetSingleBookTests","com.bookstore.BooksAPI.GetSingleBookTests","getSingleBookSearchingByInvalidIdType","Get single book with invalid format ID",""
"passed","Wed Mar 05 09:48:42 GMT 2025","Wed Mar 05 09:48:42 GMT 2025","331","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookTest","Post a book",""
"passed","Wed Mar 05 09:48:34 GMT 2025","Wed Mar 05 09:48:37 GMT 2025","2652","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetAllAuthorsTests","com.bookstore.AuthorsAPI.GetAllAuthorsTests","getAllAuthors","getAllAuthors",""
"passed","Wed Mar 05 09:48:43 GMT 2025","Wed Mar 05 09:48:44 GMT 2025","325","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetSingleBookTests","com.bookstore.BooksAPI.GetSingleBookTests","getSingleBookByID","Get single book",""
"passed","Wed Mar 05 09:48:45 GMT 2025","Wed Mar 05 09:48:46 GMT 2025","307","Surefire suite","Surefire test","com.bookstore.BooksAPI.DeleteBookTests","com.bookstore.BooksAPI.DeleteBookTests","deleteBookById","Delete a book by ID",""
"passed","Wed Mar 05 09:48:41 GMT 2025","Wed Mar 05 09:48:42 GMT 2025","668","Surefire suite","Surefire test","com.bookstore.BooksAPI.GetAllBooksTests","com.bookstore.BooksAPI.GetAllBooksTests","getAllBooks","Get all books",""
"passed","Wed Mar 05 09:48:44 GMT 2025","Wed Mar 05 09:48:45 GMT 2025","365","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateBookSearchingByInvalidIdType","Update book by searching by invalid id type",""
"passed","Wed Mar 05 09:48:37 GMT 2025","Wed Mar 05 09:48:38 GMT 2025","338","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.PostAuthorTests","com.bookstore.AuthorsAPI.PostAuthorTests","postAuthorWithoutFirstName","Post author without first name",""
"passed","Wed Mar 05 09:48:45 GMT 2025","Wed Mar 05 09:48:45 GMT 2025","303","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateBookWithInvalidPageCountType","Update page count of book with invalid type",""
"passed","Wed Mar 05 09:48:45 GMT 2025","Wed Mar 05 09:48:45 GMT 2025","306","Surefire suite","Surefire test","com.bookstore.BooksAPI.UpdateBookTests","com.bookstore.BooksAPI.UpdateBookTests","updateTitleOfBook","Update the title of a book",""
"passed","Wed Mar 05 09:48:42 GMT 2025","Wed Mar 05 09:48:43 GMT 2025","324","Surefire suite","Surefire test","com.bookstore.BooksAPI.PostBookTests","com.bookstore.BooksAPI.PostBookTests","postBookWithoutDescription","Post book without description",""
"passed","Wed Mar 05 09:48:40 GMT 2025","Wed Mar 05 09:48:40 GMT 2025","322","Surefire suite","Surefire test","com.bookstore.AuthorsAPI.GetSingleAuthorTests","com.bookstore.AuthorsAPI.GetSingleAuthorTests","getNonExistentAuthorById","Get single author",""
